id,title,handle,vendor,product_type,tags,link,summary
8002783838453,"""Adam"" Suede Penny Loafer in Light Brown",adam-suede-penny-loafer-in-light-brown,Tricker's,Loafers,Color_Brown Light brown Loafer Shoes Size UK SS19 Summer test Tricker's,https://sartale2022.myshopify.com/products/adam-suede-penny-loafer-in-light-brown,"""Adam"" Suede Penny Loafer in Light Brown Color_Brown Light brown Loafer Shoes Size UK SS19 Summer test Tricker's Loafers Tricker's"
8002783871221,"""Adam"" Suede Penny Loafer in Navy Blue",adam-suede-penny-loafer-in-navy-blue,Tricker's,Loafers,Color_Blue Loafer Navy blue Shoes Size UK SS19 Summer test Tricker's,https://sartale2022.myshopify.com/products/adam-suede-penny-loafer-in-navy-blue,"""Adam"" Suede Penny Loafer in Navy Blue Color_Blue Loafer Navy blue Shoes Size UK SS19 Summer test Tricker's Loafers Tricker's"
8002783576309,"""Adam"" Suede Penny Loafer in Olive Green",adam-suede-penny-loafer-in-olive-green,Tricker's,Loafers,Color_Green Loafer Olive green Shoes Size UK SS19 Summer test Tricker's,https://sartale2022.myshopify.com/products/adam-suede-penny-loafer-in-olive-green,"""Adam"" Suede Penny Loafer in Olive Green Color_Green Loafer Olive green Shoes Size UK SS19 Summer test Tricker's Loafers Tricker's"
8002783543541,"""Alder"" Suede Derby Boot with Lightweight Walking Sole in Brown",alder-suede-derby-boot-with-lightweight-walking-sole-in-brown,John Lobb,Boots,Boots Color_Brown FW19/20 JOHN LOBB Parisian Brown Shoes Size UK test Winter,https://sartale2022.myshopify.com/products/alder-suede-derby-boot-with-lightweight-walking-sole-in-brown,"""Alder"" Suede Derby Boot with Lightweight Walking Sole in Brown Boots Color_Brown FW19/20 JOHN LOBB Parisian Brown Shoes Size UK test Winter Boots John Lobb"
8002783510773,"""Aley"" Suede Loafer with Hand-Stitched Apron in Brick Red",aley-suede-loafer-with-hand-stitched-apron-in-brick-red,John Lobb,Loafers,Brick red Color_Red JOHN LOBB last size Loafer Shoes Size UK SS17 Summer test,https://sartale2022.myshopify.com/products/aley-suede-loafer-with-hand-stitched-apron-in-brick-red,"""Aley"" Suede Loafer with Hand-Stitched Apron in Brick Red Brick red Color_Red JOHN LOBB last size Loafer Shoes Size UK SS17 Summer test Loafers John Lobb"
8002783609077,"""Aley"" Suede Loafer with Hand-Stitched Apron in Brown",aley-suede-loafer-with-hand-stitched-apron-in-brown-1,John Lobb,Loafers,Brown Color_Brown FW17/18 JOHN LOBB Loafer Shoes Size UK test Winter,https://sartale2022.myshopify.com/products/aley-suede-loafer-with-hand-stitched-apron-in-brown-1,"""Aley"" Suede Loafer with Hand-Stitched Apron in Brown Brown Color_Brown FW17/18 JOHN LOBB Loafer Shoes Size UK test Winter Loafers John Lobb"
8002783674613,"""Aley"" Suede Loafer with Hand-Stitched Apron in Brown",aley-suede-loafer-with-hand-stitched-apron-in-brown,John Lobb,Loafers,Brown Color_Brown JOHN LOBB Loafer Shoes Size UK SS17 Summer test,https://sartale2022.myshopify.com/products/aley-suede-loafer-with-hand-stitched-apron-in-brown,"""Aley"" Suede Loafer with Hand-Stitched Apron in Brown Brown Color_Brown JOHN LOBB Loafer Shoes Size UK SS17 Summer test Loafers John Lobb"
8002783641845,"""Aley"" Suede Loafer with Hand-Stitched Apron in Royal Blue",aley-suede-loafer-with-hand-stitched-apron-in-royal-blue,John Lobb,Loafers,Color_Blue FW17/18 JOHN LOBB Loafer Royal blue Shoes Size UK test Winter,https://sartale2022.myshopify.com/products/aley-suede-loafer-with-hand-stitched-apron-in-royal-blue,"""Aley"" Suede Loafer with Hand-Stitched Apron in Royal Blue Color_Blue FW17/18 JOHN LOBB Loafer Royal blue Shoes Size UK test Winter Loafers John Lobb"
8355623764300,"""All Day Long Collection"" Bengal-Stripe Cotton Blue Shirt with Cutaway Collar",all-day-long-collection-bengal-stripe-cotton-blue-shirt-with-cutaway-collar,Emanuele Maffeis,Shirts,Clothing Color_Blue Color_White Emanuele Maffeis FW19/20 Long Sleeve Shirt White and Blue winter,https://sartale2022.myshopify.com/products/all-day-long-collection-bengal-stripe-cotton-blue-shirt-with-cutaway-collar,"""All Day Long Collection"" Bengal-Stripe Cotton Blue Shirt with Cutaway Collar Clothing Color_Blue Color_White Emanuele Maffeis FW19/20 Long Sleeve Shirt White and Blue winter Shirts Emanuele Maffeis"
8355623108940,"""All Day Long Collection"" Bengal-Stripe Cotton Light Blue Shirt with Cutaway Collar",all-day-long-collection-bengal-stripe-cotton-light-blue-shirt-with-cutaway-collar,Emanuele Maffeis,Shirts,Clothing Color_Blue Color_White Emanuele Maffeis FW19/20 Light Blue and White Long Sleeve Shirt winter,https://sartale2022.myshopify.com/products/all-day-long-collection-bengal-stripe-cotton-light-blue-shirt-with-cutaway-collar,"""All Day Long Collection"" Bengal-Stripe Cotton Light Blue Shirt with Cutaway Collar Clothing Color_Blue Color_White Emanuele Maffeis FW19/20 Light Blue and White Long Sleeve Shirt winter Shirts Emanuele Maffeis"
